,ab_id,px,pz,code,pitch_type,b_count,s_count,zones,swing,result
117888,2018048099,0.812476671998425,1.95976301923452,D,FF,0.0,0.0,8,1,Hit
119690,2018058576,0.35518666498405,1.28032137180882,S,FS,0.0,0.0,15,1,Strike
119691,2018058576,1.05839072702206,2.01203384276513,B,SL,0.0,1.0,13,0,Ball
119692,2018058576,0.418959137269022,0.5790003946058431,B,SI,1.0,1.0,15,0,Ball
119693,2018058576,1.41479917523743,0.489172806303109,B,SL,2.0,1.0,16,0,Ball
119694,2018058576,0.929971000685469,1.7169658039874198,C,FF,3.0,1.0,13,0,Ball
119695,2018058576,1.01389743681871,2.46680679532831,F,FC,3.0,2.0,13,1,Foul
119696,2018058576,0.375870787438414,2.04789278430142,F,FS,3.0,2.0,8,1,Foul
119697,2018058576,1.17641810645927,2.50699054598961,X,SL,3.0,2.0,13,1,Out
119723,2018058598,0.871156630089335,2.5160887721539904,C,SL,0.0,0.0,13,0,Ball
119724,2018058598,-0.0545562730234172,3.0116146089981,X,SI,0.0,1.0,1,1,Out
121282,2018066104,0.19110793131158,2.7857897708746897,X,FF,0.0,0.0,4,1,Out
121313,2018066119,0.6587445667724801,2.47521423324606,X,FT,0.0,0.0,5,1,Out
121339,2018066137,0.8260978090240211,2.7274377912683905,C,FT,0.0,0.0,5,0,Ball
121340,2018066137,0.6395025307923571,1.8084900076166104,C,FT,0.0,1.0,8,0,Ball
121341,2018066137,0.0169665151326674,0.272226030303776,B,CH,0.0,2.0,15,0,Ball
121342,2018066137,-0.683968571547601,1.85083692104758,E,FC,1.0,2.0,6,1,Hit
121370,2018066155,0.5880549069501341,2.05884306472844,D,CH,0.0,0.0,8,1,Hit
123795,2018081166,0.94388302372066,3.17571775320021,B,FF,0.0,0.0,13,0,Ball
123796,2018081166,0.304502515784538,3.2844081221991,B,SL,1.0,0.0,2,0,Ball
123797,2018081166,0.0748055305080554,2.6556291873530804,X,FF,2.0,0.0,4,1,Out
123825,2018081182,1.20077478704152,2.07490155177784,B,FF,0.0,0.0,13,0,Ball
123826,2018081182,-0.0214231979876788,0.295399591359611,*B,CH,1.0,0.0,15,0,Ball
123827,2018081182,1.16503101682327,1.4971554434090302,B,SL,2.0,0.0,16,0,Ball
123828,2018081182,0.045787199216006,3.12520668119492,C,FF,3.0,0.0,1,0,Ball
123829,2018081182,-0.133853521229773,1.99808035279462,S,CH,3.0,1.0,7,1,Strike
123830,2018081182,-0.00655730690808927,1.1120828725123602,F,CH,3.0,2.0,15,1,Foul
123831,2018081182,0.5392164027631811,1.3571161809681398,D,SL,3.0,2.0,15,1,Hit
123846,2018081201,-0.157857849527095,2.63570951345429,C,FF,0.0,0.0,4,0,Ball
123847,2018081201,-1.29414470126319,2.759297893047,B,CH,0.0,1.0,12,0,Ball
123848,2018081201,1.0189385782806,1.3393791837126,B,FF,1.0,1.0,16,0,Ball
123849,2018081201,-0.325094229987622,2.1344576826321298,F,FF,2.0,1.0,6,1,Foul
123850,2018081201,0.58499907657767,1.72665438876903,F,FF,2.0,2.0,8,1,Foul
123851,2018081201,0.5407216111626939,-0.355586441484233,B,CH,2.0,2.0,15,0,Ball
123852,2018081201,-0.190982573239442,1.8677022471831497,T,CH,3.0,2.0,7,1,Strike
125261,2018089242,-0.269017735247791,2.6360131876312103,F,FT,0.0,0.0,4,1,Foul
125262,2018089242,-0.62158888298769,1.86029243553918,X,FT,0.0,1.0,6,1,Out
125295,2018089266,-1.26823902454669,2.25683765853092,B,FF,0.0,0.0,12,0,Ball
125296,2018089266,-1.29991948926997,2.55965316278096,B,FF,1.0,0.0,12,0,Ball
125297,2018089266,-0.0403302333907429,1.84145949075963,D,FT,2.0,0.0,7,1,Hit
125332,2018089283,-0.887455630225115,2.54782084180645,C,FC,0.0,0.0,12,0,Ball
125333,2018089283,0.847592297551452,2.80539972633734,C,FF,0.0,1.0,13,0,Ball
125334,2018089283,0.8100293411474649,1.30810960053119,D,CH,0.0,2.0,15,1,Hit
128914,2018109346,0.0960373017378103,3.51877981708148,B,SL,0.0,0.0,1,0,Ball
128915,2018109346,0.350234443466212,1.33372453805397,B,FF,1.0,0.0,15,0,Ball
128916,2018109346,-0.9264446195602172,3.02094416701312,C,SL,2.0,0.0,12,0,Ball
128917,2018109346,-0.5435167105980979,3.33129832923782,F,SL,2.0,1.0,0,1,Foul
